t,S,I,R
6.2103526735677645,423.0,53.0,24.0
6.2210214069308165,423.0,52.0,25.0
6.252550326419986,422.0,53.0,25.0
6.272669397725427,422.0,52.0,26.0
6.282787126425526,421.0,53.0,26.0
6.297093814429501,420.0,54.0,26.0
6.313022498604652,420.0,53.0,27.0
6.329293322458686,419.0,54.0,27.0
6.336802890300701,418.0,55.0,27.0
6.337641650384746,417.0,56.0,27.0
6.344907962661196,416.0,57.0,27.0
6.36477964847531,415.0,58.0,27.0
6.3732165458156205,414.0,59.0,27.0
6.377975385839119,413.0,60.0,27.0
6.383324624837025,412.0,61.0,27.0
6.408259095234783,411.0,62.0,27.0
6.455213663028184,410.0,63.0,27.0
6.4707451458558705,409.0,64.0,27.0
6.48526984644158,408.0,65.0,27.0
6.486550118477361,407.0,66.0,27.0
6.488724847084314,406.0,67.0,27.0
6.522540647545215,405.0,68.0,27.0
6.5382289778649065,404.0,69.0,27.0
6.538522141058726,403.0,70.0,27.0
6.552530604311259,402.0,71.0,27.0
6.564331848360107,401.0,72.0,27.0
6.574954861393218,401.0,71.0,28.0
6.581427914184623,401.0,70.0,29.0
6.604246512788624,401.0,69.0,30.0
6.610639061496758,401.0,68.0,31.0
6.6157698007857135,400.0,69.0,31.0
6.643446896595088,399.0,70.0,31.0
6.645453033485824,398.0,71.0,31.0
6.66309574090288,397.0,72.0,31.0
6.663421605556245,396.0,73.0,31.0
6.6686110682676505,395.0,74.0,31.0
6.672580330834945,394.0,75.0,31.0
6.679424874626515,393.0,76.0,31.0
6.681299425225836,392.0,77.0,31.0
6.688920595597586,391.0,78.0,31.0
6.689524366878482,390.0,79.0,31.0
6.693241523100589,389.0,80.0,31.0
6.695542886066452,388.0,81.0,31.0
6.70526796982799,387.0,82.0,31.0
6.714764516048133,386.0,83.0,31.0
6.717510555186462,385.0,84.0,31.0
6.7516387341316735,384.0,85.0,31.0
6.762071616679545,384.0,84.0,32.0
6.76689623625492,383.0,85.0,32.0
6.807168849318484,382.0,86.0,32.0
6.816534875120176,381.0,87.0,32.0
6.817611045799419,380.0,88.0,32.0
6.819951931621525,379.0,89.0,32.0
6.822023238823026,379.0,88.0,33.0
