t,S,I,R
0.4847138685594897,889,86,25
0.4901249913722272,888,87,25
0.49172030463291144,887,88,25
0.49539176603532825,886,89,25
0.49618260740883346,885,90,25
0.515346833702803,885,89,26
0.5154874804463712,884,90,26
0.5231842016968171,883,91,26
0.5370685946250241,882,92,26
0.5409911389840482,881,93,26
0.5439948563048028,881,92,27
0.5441955843080762,881,91,28
0.5462255629607549,881,90,29
0.5544188403955194,880,91,29
0.5592593454775469,879,92,29
0.5718181644140811,878,93,29
0.5807463036410907,878,92,30
0.5829537610219478,877,93,30
0.5982656512526002,876,94,30
0.603823001711926,875,95,30
0.6069593647918736,874,96,30
0.6125335342233763,874,95,31
0.6166266984729052,874,94,32
0.6246067711262352,873,95,32
0.6246090295826866,872,96,32
0.6255298960118477,871,97,32
0.6284126848527317,870,98,32
0.6308298382949483,869,99,32
0.6309042280941585,868,100,32
0.6434592040028179,868,99,33
0.6443205376606538,867,100,33
0.6497270193725271,866,101,33
0.6542189043522236,865,102,33
0.6727790293794426,864,103,33
0.6731320592627248,863,104,33
0.6744209810489272,862,105,33
0.6782005761073564,862,104,34
0.6791206504965889,862,103,35
0.6792535239270835,861,104,35
0.6825089813113125,860,105,35
0.6854274545853881,859,106,35
0.6861928581768233,858,107,35
0.6907067615502517,857,108,35
0.6965149048097188,856,109,35
0.6987985833435914,855,110,35
0.6998788886897488,854,111,35
0.7101879376317763,853,112,35
0.7162962334217943,852,113,35
0.7332521301555118,851,114,35
0.7352023299523003,850,115,35
0.7376222365096969,850,114,36
0.7406062596729165,849,115,36
0.7559775071662678,848,116,36
0.7577328262158797,848,115,37
0.7629745697377093,847,116,37
0.7643778355538013,846,117,37
0.7657968523884087,845,118,37
0.7676044365803476,844,119,37
0.7724956091448112,843,120,37
0.7831869751698757,842,121,37
0.7834395513485842,841,122,37
0.783814531984136,840,123,37
0.7861549005219958,839,124,37
0.7884831967148959,838,125,37
0.7886976098526137,837,126,37
0.7920581419239238,836,127,37
0.7968138561454706,836,126,38
0.8021807238307528,835,127,38
0.8073861004417329,834,128,38
0.8126795293573731,834,127,39
0.8163720902132773,833,128,39
0.817630039760706,832,129,39
0.817765417311415,831,130,39
0.8222385366790771,830,131,39
0.8226715516755404,829,132,39
0.8315600890854221,828,133,39
0.8328924995228065,827,134,39
0.8352155654466674,826,135,39
0.8368922159567733,825,136,39
0.8385546395653927,825,135,40
0.8424922652445799,824,136,40
0.8440121121246733,823,137,40
0.8521639045755349,822,138,40
0.8593004867714515,822,137,41
0.861025584484525,821,138,41
0.8612544036162045,820,139,41
0.8639394149256207,820,138,42
0.8644529318289461,819,139,42
0.8657345808707778,818,140,42
0.8671009535616713,817,141,42
0.8682974448443768,816,142,42
0.8686708514141908,815,143,42
0.8695025287143544,814,144,42
0.8922775753423688,814,143,43
0.8946844829397348,813,144,43
0.8955836414296583,812,145,43
0.8976124294377726,812,144,44
0.8981534887778534,812,143,45
0.8988128867389062,812,142,46
0.9013022009129161,811,143,46
0.9048587886033399,810,144,46
0.9134523365153573,809,145,46
0.9140723318507685,808,146,46
0.9237351879370495,807,147,46
